Rk,Player,PTS/100 Poss.,MP/G,G,Season,Team,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/100 Poss.,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1,Darryn Peterson,49.0,26.8,9,2025-26,Kansas,9,9,16.4,32.6,10.0,16.9,6.4,15.7,9.8,11.8,1.0,8.8,9.8,4.7,2.4,1.7,3.4,2.7,49.0,.504,.594,.406,.833,.642,.602,G,FR,darryn-peterson-1
2,Bol Bol,43.1,29.8,9,2018-19,Oregon,9,9,16.9,30.1,13.9,24.4,3.0,5.7,6.4,8.4,4.3,15.3,19.6,2.1,1.6,5.5,4.1,3.4,43.1,.561,.570,.520,.757,.632,.610,C,FR,bol-bol-1
3,Mike Daum,42.7,20.8,34,2015-16,South Dakota State,34,3,14.2,25.6,11.8,20.3,2.4,5.4,11.9,14.5,5.8,11.2,17.0,2.2,1.4,0.9,4.6,5.8,42.7,.553,.581,.446,.824,.656,.600,F,FR,mike-daum-1
4,Jao Ituka,41.4,22.0,28,2021-22,Marist,28,16,14.6,27.8,13.1,24.0,1.5,3.8,10.6,13.8,1.8,6.7,8.5,4.4,1.8,0.7,6.4,5.2,41.4,.526,.544,.410,.768,.602,.554,G,FR,jao-ituka-1
5,Zion Williamson,41.2,30.0,33,2018-19,Duke,33,33,16.3,24.0,15.0,20.1,1.3,3.9,7.2,11.2,6.4,9.8,16.2,3.8,3.9,3.3,4.3,3.8,41.2,.680,.747,.338,.640,.702,.708,F,FR,zion-williamson-1
6,Cameron Boozer,41.1,32.2,18,2025-26,Duke,18,18,14.3,24.5,11.8,17.7,2.6,6.8,9.8,13.1,5.9,11.7,17.6,7.2,3.1,1.2,4.0,2.9,41.1,.586,.667,.377,.752,.669,.639,F,FR,cameron-boozer-3
7,Trae Young,40.4,35.4,32,2017-18,Oklahoma,32,32,12.0,28.5,6.6,13.4,5.4,15.1,10.9,12.6,0.6,5.1,5.8,12.9,2.5,0.4,7.7,2.6,40.4,.422,.493,.360,.861,.585,.518,G,FR,trae-young-1
8,Brice Sensabaugh,40.3,24.5,33,2022-23,Ohio State,33,21,14.8,30.7,10.3,19.6,4.5,11.1,6.2,7.5,3.1,10.1,13.3,2.8,1.3,1.0,5.0,6.1,40.3,.480,.523,.405,.830,.587,.554,F,FR,brice-sensabaugh-1
9,Antoine Davis,39.7,37.4,30,2018-19,Detroit Mercy,30,29,13.3,33.3,6.6,15.7,6.7,17.6,6.4,7.4,1.1,3.6,4.8,5.4,1.4,0.0,5.0,3.5,39.7,.400,.423,.380,.857,.539,.501,G,FR,antoine-davis-2
10,AJ Dybantsa,39.6,31.8,18,2025-26,Brigham Young,18,18,13.6,24.9,12.0,19.7,1.6,5.2,10.9,14.3,2.6,9.4,12.0,6.3,2.4,0.8,4.9,2.1,39.6,.547,.612,.302,.760,.626,.579,F,FR,aj-dybantsa-1
11,James Daniel,39.3,31.8,28,2013-14,Howard,28,26,10.4,28.2,4.3,12.7,6.1,15.5,12.4,15.6,1.0,3.6,4.6,2.9,2.5,0.1,6.2,4.3,39.3,.368,.337,.394,.798,.552,.476,G,FR,james-daniel-1
12,Vernon Carey Jr.,39.2,24.9,31,2019-20,Duke,31,30,14.1,24.5,13.6,23.0,0.6,1.5,10.4,15.5,5.9,13.4,19.3,2.1,1.6,3.5,4.5,6.0,39.2,.577,.590,.381,.670,.615,.588,C,FR,vernon-careyjr-1
